File Name	File Extension	File Size (KB)	Creation Date	File Path
app	.py	1.41	2024-12-20 14:59:26	C:\Users\ibrah\OneDrive\Desktop\Software\app.py
apppp	.py	2.26	2024-12-25 18:44:27	C:\Users\ibrah\OneDrive\Desktop\Software\apppp.py
index	.html	0.21	2024-12-26 15:43:33	C:\Users\ibrah\OneDrive\Desktop\Software\index.html
SesDosyalari_TamYolu	.csv	1.29	2024-12-22 15:43:10	C:\Users\ibrah\OneDrive\Desktop\Software\SesDosyalari_TamYolu.csv
SesDosyalari_TamYolu	.tsv	0.0	2024-12-22 15:45:30	C:\Users\ibrah\OneDrive\Desktop\Software\SesDosyalari_TamYolu.tsv
Yeni Microsoft Publisher Document	.pub	58.5	2024-12-22 16:17:56	C:\Users\ibrah\OneDrive\Desktop\Software\Yeni Microsoft Publisher Document.pub
cemre.Air Conditioning	.opus	5.1	2024-12-20 14:08:32	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.Air Conditioning.opus
cemre.brightness	.opus	4.63	2024-12-20 14:08:21	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.brightness.opus
cemre.heating	.opus	4.33	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.heating.opus
cemre.light	.opus	4.07	2024-12-20 14:07:35	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.light.opus
cemre.multimedia	.opus	4.11	2024-12-20 14:07:56	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.multimedia.opus
cemre.temperature	.opus	4.27	2024-12-20 14:09:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.temperature.opus
cemre.the alarm	.opus	4.04	2024-12-20 14:07:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the alarm.opus
cemre.the fan	.opus	3.24	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the fan.opus
cemre.the lighting	.opus	3.56	2024-12-20 14:08:10	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the lighting.opus
cemre.the room	.opus	3.45	2024-12-20 14:08:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the room.opus
cemre.alarmı	.opus	3.51	2024-12-22 16:06:24	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.alarmı.opus
cemre.aydınlatmayı	.opus	4.14	2024-12-22 16:06:38	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.aydınlatmayı.opus
cemre.fanı	.opus	2.91	2024-12-22 16:07:06	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.fanı.opus
cemre.iklimlendirmeyi	.opus	4.38	2024-12-22 16:06:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.iklimlendirmeyi.opus
cemre.multimedyayı	.opus	3.82	2024-12-22 16:06:30	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.multimedyayı.opus
cemre.odayı	.opus	2.89	2024-12-22 16:06:58	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.odayı.opus
cemre.parlaklığı	.opus	4.09	2024-12-22 16:06:45	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.parlaklığı.opus
cemre.sıcaklığı	.opus	3.25	2024-12-22 16:07:20	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.sıcaklığı.opus
cemre.ısıtmayı	.opus	3.05	2024-12-22 16:07:12	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.ısıtmayı.opus
cemre.ışığı	.opus	4.0	2024-12-22 16:06:14	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.ışığı.opus
gülsüm.Air Conditioning	.opus	4.77	2024-12-20 13:56:20	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.Air Conditioning.opus
gülsüm.brightness	.opus	4.88	2024-12-20 13:55:59	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.brightness.opus
gülsüm.heating	.opus	3.95	2024-12-20 13:56:51	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.heating.opus
gülsüm.light	.opus	3.91	2024-12-20 13:54:56	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.light.opus
gülsüm.multimedia	.opus	4.87	2024-12-20 13:55:26	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.multimedia.opus
gülsüm.temperature	.opus	4.88	2024-12-20 13:57:06	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.temperature.opus
gülsüm.the alarm	.opus	3.52	2024-12-20 13:55:11	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the alarm.opus
gülsüm.the fan	.opus	3.77	2024-12-20 13:56:38	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the fan.opus
gülsüm.the lighting	.opus	4.09	2024-12-20 13:55:40	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the lighting.opus
gülsüm.the room	.opus	3.68	2024-12-20 13:56:29	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the room.opus
