File Name	File Extension	File Size (KB)	Creation Date	File Path
cemre.Air Conditioning	.opus	5.1	2024-12-20 14:08:32	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.Air Conditioning.opus
cemre.brightness	.opus	4.63	2024-12-20 14:08:21	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.brightness.opus
cemre.heating	.opus	4.33	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.heating.opus
cemre.light	.opus	4.07	2024-12-20 14:07:35	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.light.opus
cemre.multimedia	.opus	4.11	2024-12-20 14:07:56	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.multimedia.opus
cemre.temperature	.opus	4.27	2024-12-20 14:09:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.temperature.opus
cemre.the alarm	.opus	4.04	2024-12-20 14:07:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the alarm.opus
cemre.the fan	.opus	3.24	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the fan.opus
cemre.the lighting	.opus	3.56	2024-12-20 14:08:10	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the lighting.opus
cemre.the room	.opus	3.45	2024-12-20 14:08:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the room.opus
cemre.alarmı	.opus	3.51	2024-12-22 16:06:24	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.alarmı.opus
cemre.aydınlatmayı	.opus	4.14	2024-12-22 16:06:38	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.aydınlatmayı.opus
cemre.fanı	.opus	2.91	2024-12-22 16:07:06	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.fanı.opus
cemre.iklimlendirmeyi	.opus	4.38	2024-12-22 16:06:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.iklimlendirmeyi.opus
cemre.multimedyayı	.opus	3.82	2024-12-22 16:06:30	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.multimedyayı.opus
cemre.odayı	.opus	2.89	2024-12-22 16:06:58	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.odayı.opus
cemre.parlaklığı	.opus	4.09	2024-12-22 16:06:45	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.parlaklığı.opus
